Date,Ranking,,,,
Jan-12,4.NC,,,,
Feb-12,4.NC,,,,
Mar-12,4.NC,,,,
Apr-12,4.NC,,,,
May-12,4.NC,,,,
Jun-12,4.NC,,,,
Jul-12,4.NC,,,,
Aug-12,4.NC,,,,
Sep-12,4.NC,,,,
Oct-12,4.NC,,,,
Nov-12,4.NC,,,,
Dec-12,4.NC,,,,
Jan-13,4.NC,,,,
Feb-13,4.NC,,,,
Mar-13,4.NC,,,,
Apr-13,4.NC,,,,
May-13,4.NC,,,,
Jun-13,4.NC,,,,
Jul-13,4.NC,,,,
Aug-13,4.NC,,,,
Sep-13,4.3,,,,
Oct-13,4.3,,,,
Nov-13,4.3,,,,
Dec-13,4.3,,,,
Jan-14,4.3,,,,
Feb-14,4.3,,,,
Mar-14,4.3,,,,
Apr-14,4.3,,,,
May-14,4.1,,,,
Jun-14,4.1,,,,
Jul-14,4.1,,,,
Aug-14,4.1,,,,
Sep-14,3.5,,,,
Oct-14,3.5,,,,
Nov-14,3.5,,,,
Dec-14,3.5,,,,
Jan-15,3.5,,,,
Feb-15,3.5,,,,
Mar-15,3.5,,,,
Apr-15,3.5,,,,
May-15,3.5,,,,
Jun-15,3.5,,,,
Jul-15,3.5,,,,
Aug-15,3.5,,,,
Sep-15,3.5,,,,
Oct-15,3.5,,,,
Nov-15,3.5,,,,
Dec-15,3.5,,,,
Jan-16,3.5,,,,
Feb-16,3.5,,,,
Mar-16,3.5,,,,
Apr-16,3.5,,,,
May-16,3.4,,,,
Jun-16,3.4,,,,
Jul-16,3.4,,,,
Aug-16,3.4,,,,
Sep-16,3.3,,,,
Oct-16,3.3,,,,
Nov-16,3.3,,,,
Dec-16,3.3,,,,
Jan-17,3.3,,,,
Feb-17,3.3,,,,
Mar-17,3.3,,,,
Apr-17,3.3,,,,
May-17,3.2,,,,
Jun-17,3.2,,,,
Jul-17,3.2,,,,
Aug-17,3.2,,,,
Sep-17,3.2,,,,
Oct-17,3.2,,,,
Nov-17,3.2,,,,
Dec-17,3.2,,,,
Jan-18,3.2,,,,
Feb-18,3.2,,,,
Mar-18,3.2,,,,
Apr-18,3.2,,,,
May-18,2.8,,,,
Jun-18,2.8,,,,
Jul-18,2.8,,,,
Aug-18,2.8,,,,
Sep-18,2.8,,,,
Oct-18,2.8,,,,
Nov-18,2.8,,,,
Dec-18,2.8,,,,
Jan-19,2.8,,,,
Feb-19,2.8,,,,
Mar-19,2.8,,,,
Apr-19,2.8,,,,
May-19,2.7,,,,
Jun-19,2.7,,,,
Jul-19,2.7,,,,
Aug-19,2.7,,,,
Sep-19,2.7,,,,
Oct-19,2.7,,,,
Nov-19,2.7,,,,
Dec-19,2.7,,,,
Jan-20,2.6,,,,
Feb-20,2.6,,,,
Mar-20,2.6,,,,
Apr-20,2.6,,,,
May-20,2.5,,,,
Jun-20,2.5,,,,
Jul-20,2.5,,,,
Aug-20,2.5,,,,
Sep-20,2.5,,,,
Oct-20,2.5,,,,
Nov-20,2.5,,,,
Dec-20,2.5,,,,
Jan-21,2.5,,,,
Feb-21,2.5,,,,
Mar-21,2.5,,,,
Apr-21,2.5,,,,
May-21,2.5,,,,
Jun-21,2.5,,,,
Jul-21,2.5,,,,
Aug-21,2.5,,,,
Sep-21,2.5,,,,
Oct-21,2.5,,,,
Nov-21,2.5,,,,
Dec-21,2.5,,,,
Jan-22,2.5,,,,
Feb-22,2.5,,,,
Mar-22,2.5,,,,
Apr-22,2.5,,,,
May-22,2.6,,,,
Jun-22,2.6,,,,
Jul-22,2.6,,,,
Aug-22,2.6,,,,
Sep-22,2.6,,,,
Oct-22,2.6,,,,
Nov-22,2.6,,,,
Dec-22,2.6,,,,